post_id,user_type,post_text,likes,shares
1,influencer,Loving this moment #content #reels,413,4
2,fitness,Loving this moment #fitness,455,56
3,student,Loving this moment #notes,297,19
4,student,Loving this moment #college #exam,131,66
5,foodie,Loving this moment #restaurant #food,429,74
6,influencer,Loving this moment #content #trending #viral,463,17
7,developer,Loving this moment #ai,394,16
8,foodie,Loving this moment #food,466,79
9,traveler,Loving this moment #vacation #explore #wanderlust,42,32
10,developer,Loving this moment #python #coding #ai,238,85
11,foodie,Loving this moment #foodie #food,395,93
12,student,Loving this moment #study,26,17
13,developer,Loving this moment #python #developer #coding,428,5
14,traveler,Loving this moment #vacation #travel #explore,105,89
15,influencer,Loving this moment #viral #content #reels,431,57
16,traveler,Loving this moment #wanderlust #travel,342,35
17,traveler,Loving this moment #vacation #wanderlust,327,86
18,influencer,Loving this moment #trending #viral #content,62,9
19,influencer,Loving this moment #content,60,54
20,developer,Loving this moment #python,482,94
21,foodie,Loving this moment #foodie #restaurant #food,106,27
22,traveler,Loving this moment #travel #vacation,215,31
23,student,Loving this moment #college,15,70
24,developer,Loving this moment #coding #ai,381,94
25,fitness,Loving this moment #workout #gym #health,167,24
26,developer,Loving this moment #developer,305,2
27,developer,Loving this moment #coding #developer #ai,497,35
28,student,Loving this moment #exam,423,30
29,developer,Loving this moment #ai,71,82
30,foodie,Loving this moment #restaurant #food #yummy,390,44
31,influencer,Loving this moment #trending #reels,225,89
32,developer,Loving this moment #python,321,35
33,developer,Loving this moment #python,325,25
34,influencer,Loving this moment #trending #content,495,22
35,foodie,Loving this moment #yummy #food #restaurant,362,36
36,developer,Loving this moment #ai #developer #coding,412,32
37,developer,Loving this moment #ai,306,65
38,foodie,Loving this moment #food,216,79
39,influencer,Loving this moment #trending #content #viral,450,96
40,fitness,Loving this moment #fitness,155,51
41,influencer,Loving this moment #trending,22,29
42,influencer,Loving this moment #reels #trending #viral,479,30
43,fitness,Loving this moment #fitness #workout,240,27
44,fitness,Loving this moment #fitness #workout #gym,435,44
45,traveler,Loving this moment #wanderlust #explore #travel,74,31
46,developer,Loving this moment #python #developer,221,89
47,foodie,Loving this moment #food,368,69
48,developer,Loving this moment #coding #ai,349,49
49,foodie,Loving this moment #restaurant #yummy #food,33,28
50,influencer,Loving this moment #viral,185,11
51,fitness,Loving this moment #fitness #gym,218,66
52,influencer,Loving this moment #trending #content,329,85
53,influencer,Loving this moment #viral #reels,307,80
54,traveler,Loving this moment #travel #vacation,179,30
55,influencer,Loving this moment #trending,134,66
56,developer,Loving this moment #ai,26,94
57,influencer,Loving this moment #content,227,30
58,foodie,Loving this moment #restaurant #foodie,230,31
59,traveler,Loving this moment #travel #explore,53,46
60,influencer,Loving this moment #content,489,21
61,developer,Loving this moment #coding #developer,295,34
62,traveler,Loving this moment #vacation #explore #wanderlust,334,61
63,traveler,Loving this moment #travel,280,54
64,traveler,Loving this moment #travel #vacation,384,77
65,student,Loving this moment #notes,337,8
66,developer,Loving this moment #developer #python #ai,149,82
67,developer,Loving this moment #developer,332,47
68,developer,Loving this moment #python #developer #coding,66,6
69,fitness,Loving this moment #workout #fitness,494,37
70,foodie,Loving this moment #foodie,377,44
71,foodie,Loving this moment #foodie #restaurant,374,42
72,traveler,Loving this moment #travel #vacation,402,19
73,student,Loving this moment #exam #study,437,40
74,traveler,Loving this moment #wanderlust #vacation,93,21
75,fitness,Loving this moment #fitness,393,12
76,student,Loving this moment #college #exam #notes,467,69
77,fitness,Loving this moment #health #gym,100,13
78,traveler,Loving this moment #wanderlust #explore,345,90
79,traveler,Loving this moment #wanderlust,400,6
80,developer,Loving this moment #python #ai,100,77
81,traveler,Loving this moment #travel #vacation,40,51
82,fitness,Loving this moment #workout #gym,333,20
83,developer,Loving this moment #developer #coding,313,29
84,fitness,Loving this moment #health #fitness #gym,230,9
85,student,Loving this moment #exam #study,213,19
86,student,Loving this moment #study,248,20
87,fitness,Loving this moment #health #fitness,455,96
