post_id,user_type,content_type,caption,likes,comments,shares
1,influencer,text,Could be better,62,23,47
2,foodie,image,Could be better,433,108,14
3,influencer,image,Loved this!,491,68,13
4,traveler,reel,Feeling awesome,652,162,121
5,traveler,story,Not so great,169,49,46
6,fitness,text,Highly recommended,281,63,31
7,developer,reel,Feeling awesome,740,195,197
8,fitness,reel,Could be better,579,198,70
9,fitness,story,Amazing experience!,269,18,8
10,student,text,Could be better,224,31,12
11,influencer,text,Must watch!,283,100,14
12,student,image,Could be better,425,89,57
13,influencer,video,Loved this!,446,218,101
14,student,image,Check this out!,294,112,59
15,influencer,video,Loved this!,730,76,118
16,influencer,story,What a day!,155,57,15
17,influencer,image,What a day!,337,95,50
18,traveler,text,Highly recommended,106,38,5
19,student,video,What a day!,456,148,167
20,fitness,video,Highly recommended,206,138,182
21,fitness,text,Feeling awesome,289,62,49
22,traveler,video,Loved this!,804,247,70
23,foodie,image,Feeling awesome,418,23,14
24,traveler,text,Amazing experience!,109,15,15
25,developer,text,Amazing experience!,238,17,29
26,foodie,video,What a day!,996,156,149
27,foodie,video,Feeling awesome,428,236,159
28,fitness,image,Feeling awesome,240,28,22
29,foodie,text,Amazing experience!,207,46,5
30,foodie,reel,Loved this!,331,213,117
31,fitness,video,Highly recommended,805,75,138
32,fitness,video,Not so great,261,103,81
33,developer,reel,What a day!,909,280,23
34,traveler,image,Must watch!,202,35,42
35,fitness,video,Could be better,652,62,132
36,traveler,reel,Highly recommended,761,259,70
37,influencer,video,Check this out!,895,254,50
38,foodie,text,Must watch!,150,96,29
39,student,video,Could be better,522,277,58
40,developer,text,What a day!,87,62,23
41,foodie,reel,Amazing experience!,861,252,88
42,student,video,Loved this!,437,240,45
43,developer,text,Must watch!,98,11,49
44,student,reel,Check this out!,988,78,83
45,foodie,reel,Check this out!,314,248,72
46,student,video,Loved this!,204,146,44
47,influencer,reel,Could be better,228,188,61
48,foodie,video,Must watch!,740,99,24
49,influencer,text,Not so great,279,91,39
50,fitness,image,Not so great,440,146,17
51,developer,image,Could be better,219,47,68
52,influencer,image,Amazing experience!,213,49,82
53,student,text,Amazing experience!,281,25,34
54,foodie,story,Could be better,246,43,38
55,foodie,reel,Amazing experience!,279,206,183
56,developer,image,Feeling awesome,329,37,19
57,foodie,text,What a day!,76,92,35
58,traveler,text,Highly recommended,88,61,31
59,fitness,text,Check this out!,158,68,5
60,influencer,reel,Amazing experience!,267,190,79
61,fitness,image,Not so great,478,89,28
62,foodie,reel,What a day!,306,212,79
63,developer,video,Check this out!,805,55,178
64,fitness,text,Feeling awesome,232,68,40
65,influencer,reel,Must watch!,212,105,51
66,influencer,text,Not so great,54,17,45
67,student,reel,Must watch!,811,280,73
68,traveler,video,Highly recommended,229,80,30
69,traveler,reel,Check this out!,367,139,107
70,student,story,Not so great,61,33,30
71,student,image,Amazing experience!,257,114,20
72,influencer,image,Could be better,129,119,77
73,traveler,video,Amazing experience!,279,165,129
74,developer,image,Not so great,349,128,55
75,fitness,video,Must watch!,973,77,85
76,traveler,story,Check this out!,152,66,39
77,foodie,reel,Feeling awesome,933,57,80
78,influencer,story,What a day!,67,38,25
79,traveler,reel,Could be better,730,84,169
80,fitness,text,Feeling awesome,118,42,41
81,fitness,image,Not so great,212,115,10
82,traveler,story,Must watch!,257,29,41
83,student,text,What a day!,261,45,15
84,student,video,Not so great,377,67,109
85,influencer,video,Amazing experience!,238,178,58
86,traveler,reel,Not so great,663,105,60
87,developer,story,Could be better,171,59,34
88,fitness,video,Loved this!,653,86,120
89,influencer,text,Feeling awesome,295,60,18
90,foodie,reel,Check this out!,238,258,29
91,developer,video,Could be better,609,52,44
92,foodie,text,Could be better,147,32,10
93,traveler,reel,Must watch!,993,263,24
94,student,text,Loved this!,51,85,17
95,foodie,story,Loved this!,152,80,39
96,developer,video,Must watch!,604,239,79
97,developer,reel,Could be better,961,97,171
98,student,text,Must watch!,100,70,48
99,student,text,Check this out!,59,38,17
100,fitness,image,Loved this!,482,118,39
101,foodie,text,Not so great,151,51,9
102,student,video,Must watch!,817,224,147
103,foodie,text,Not so great,204,38,49
104,fitness,reel,Could be better,283,97,180
105,influencer,reel,Could be better,790,289,71
106,influencer,video,Highly recommended,914,276,121
107,foodie,text,What a day!,297,85,50
108,fitness,image,Highly recommended,219,108,24
109,student,video,What a day!,434,282,186
110,developer,image,Feeling awesome,175,50,93
111,developer,video,Not so great,827,74,62
112,developer,story,Not so great,274,19,42
113,fitness,image,Amazing experience!,479,142,40
114,fitness,story,Amazing experience!,262,68,18
115,developer,reel,Must watch!,530,262,97
116,fitness,video,What a day!,331,80,32
117,student,video,Amazing experience!,904,232,29
118,foodie,image,Not so great,246,54,10
119,influencer,reel,Could be better,859,255,109
120,fitness,image,Not so great,111,43,79
121,influencer,story,What a day!,153,75,15
122,fitness,story,Could be better,168,86,46
123,influencer,video,What a day!,967,268,90
124,traveler,image,What a day!,368,57,74
125,developer,story,What a day!,99,43,23
126,traveler,text,Must watch!,181,10,38
127,traveler,text,Not so great,230,76,17
128,influencer,story,Feeling awesome,153,25,29
129,developer,reel,Must watch!,307,297,106
130,influencer,video,Amazing experience!,460,297,173
131,influencer,text,Could be better,80,91,43
132,traveler,reel,Must watch!,316,265,98
133,traveler,reel,What a day!,880,50,37
134,foodie,video,Could be better,985,54,22
135,traveler,image,Loved this!,177,143,22
136,fitness,text,What a day!,90,87,35
137,fitness,text,Feeling awesome,281,14,31
138,student,reel,Could be better,321,269,174
139,foodie,story,Feeling awesome,297,69,41
140,foodie,image,Check this out!,377,98,71
141,developer,text,Amazing experience!,165,95,9
142,traveler,reel,Amazing experience!,566,204,107
143,foodie,story,Feeling awesome,216,53,47
144,fitness,story,Check this out!,92,13,17
145,influencer,story,What a day!,181,38,31
146,influencer,image,Feeling awesome,376,31,39
147,traveler,reel,What a day!,715,191,141
148,student,story,Feeling awesome,97,88,48
149,traveler,image,Could be better,216,98,34
150,traveler,video,What a day!,792,93,69
151,traveler,story,Not so great,158,66,20
152,traveler,story,What a day!,290,37,43
153,student,reel,Feeling awesome,270,244,71
154,student,image,Must watch!,442,139,71
155,traveler,image,What a day!,404,32,11
156,student,reel,Could be better,465,101,63
157,traveler,story,Loved this!,280,90,20
158,traveler,story,Feeling awesome,298,83,42
159,foodie,video,Could be better,976,58,86
160,influencer,video,Check this out!,630,86,166
161,foodie,image,Check this out!,221,89,76
162,influencer,video,Could be better,270,127,48
163,traveler,image,Highly recommended,125,59,62
164,developer,video,Could be better,388,170,103
165,developer,video,Not so great,602,118,29
166,developer,image,Feeling awesome,452,75,78
167,fitness,image,Check this out!,325,131,54
168,influencer,story,Feeling awesome,248,13,31
169,traveler,image,Feeling awesome,362,68,81
170,foodie,reel,Could be better,655,146,148
171,developer,reel,Amazing experience!,430,52,185
172,fitness,video,Amazing experience!,638,186,94
173,developer,video,Could be better,993,270,63
174,developer,video,Must watch!,945,96,65
175,influencer,text,Amazing experience!,178,85,28
176,developer,story,Highly recommended,117,18,49
177,developer,image,Check this out!,309,29,95
178,foodie,text,Not so great,136,42,31
179,influencer,text,Amazing experience!,135,46,18
180,foodie,reel,Amazing experience!,459,140,80
181,developer,image,Feeling awesome,291,40,20
182,influencer,reel,Feeling awesome,899,90,91
183,fitness,reel,Amazing experience!,590,56,126
184,developer,image,Loved this!,150,80,52
185,fitness,reel,What a day!,713,272,112
186,fitness,story,Could be better,135,43,11
187,student,story,Amazing experience!,136,62,36
188,traveler,reel,Must watch!,395,190,162
189,traveler,video,Feeling awesome,400,57,188
190,influencer,image,Not so great,316,94,53
191,student,video,Must watch!,789,81,112
192,student,image,Not so great,358,90,66
193,developer,reel,Amazing experience!,957,105,49
194,traveler,image,Highly recommended,201,25,78
195,fitness,image,Could be better,296,90,52
196,developer,story,Loved this!,170,49,34
197,foodie,image,What a day!,258,100,27
198,influencer,text,What a day!,87,69,10
199,foodie,reel,Must watch!,864,182,104
200,student,text,Not so great,259,74,10
201,student,image,Highly recommended,392,101,35
202,developer,image,Must watch!,335,52,66
203,traveler,story,Not so great,268,52,47
204,student,text,Check this out!,125,17,17
205,foodie,image,Feeling awesome,373,48,10
206,foodie,reel,Could be better,862,171,168
207,traveler,story,Could be better,93,18,23
208,fitness,image,Check this out!,155,48,23
209,influencer,story,Loved this!,257,64,48
210,foodie,reel,What a day!,745,291,31
211,influencer,video,Loved this!,616,154,100
212,traveler,image,Feeling awesome,210,144,22
213,traveler,text,Amazing experience!,172,31,11
214,foodie,text,Highly recommended,84,27,47
215,fitness,reel,Feeling awesome,743,84,110
216,influencer,text,Feeling awesome,178,72,38
217,student,image,Amazing experience!,288,85,20
218,traveler,reel,Must watch!,702,158,61
219,fitness,reel,Could be better,754,220,38
220,developer,image,Loved this!,212,133,13
221,foodie,image,What a day!,141,57,70
222,influencer,image,Amazing experience!,285,27,46
223,influencer,reel,What a day!,948,240,70
