customer_id,age,city,category,purchase_amount,rating,discount
1,22,Bangalore,Electronics,3424.7,2.4,28.2
2,43,Mumbai,Sports,108.36,2.2,36.51
3,55,Delhi,Sports,4220.33,2.0,36.88
4,20,Bangalore,Sports,3843.78,3.3,26.9
5,51,Mumbai,Clothing,4092.09,4.5,35.96
6,32,Chennai,Grocery,3070.74,3.5,41.75
7,34,Chennai,Electronics,2449.1,2.6,10.28
8,53,Mumbai,Clothing,3221.09,1.4,40.51
9,57,Chennai,Clothing,491.37,3.7,41.37
10,27,Bangalore,Grocery,716.38,2.1,48.37
11,49,Delhi,Electronics,3605.14,3.6,32.57
12,57,Chennai,Electronics,4623.87,4.3,20.52
13,22,Pune,Clothing,3262.64,3.2,3.16
14,37,Pune,Grocery,4588.24,1.5,23.67
15,34,Bangalore,Electronics,1320.11,3.4,47.08
16,27,Chennai,Electronics,2759.78,1.2,39.76
17,41,Chennai,Clothing,1538.08,4.0,39.39
18,38,Pune,Clothing,4521.76,2.8,14.33
19,18,Bangalore,Grocery,4943.57,1.0,35.65
20,25,Mumbai,Sports,2159.28,4.7,33.67
21,24,Delhi,Grocery,707.94,2.8,30.52
22,43,Mumbai,Grocery,1442.75,3.3,29.57
23,48,Mumbai,Clothing,2612.48,2.0,29.78
24,47,Delhi,Grocery,211.06,2.7,7.59
25,35,Bangalore,Clothing,2606.24,2.7,39.03
26,39,Delhi,Electronics,2834.88,1.0,7.08
27,32,Mumbai,Electronics,4483.59,3.4,25.71
28,19,Pune,Grocery,3265.78,2.3,24.92
29,48,Bangalore,Grocery,2152.82,4.7,49.94
30,41,Chennai,Grocery,1713.12,1.4,18.44
31,59,Mumbai,Grocery,2344.18,2.0,13.58
32,52,Chennai,Electronics,3752.35,1.4,43.35
33,31,Delhi,Electronics,1813.28,1.8,18.22
34,19,Chennai,Grocery,3010.13,3.1,3.2
35,18,Chennai,Clothing,2890.27,2.9,28.82
36,47,Delhi,Sports,1899.03,4.4,6.17
37,54,Mumbai,Grocery,3958.22,3.1,36.57
38,47,Chennai,Clothing,4349.83,5.0,36.52
39,43,Delhi,Grocery,418.27,3.7,40.18
40,38,Pune,Electronics,3830.21,1.1,27.13
41,53,Mumbai,Sports,1374.49,3.4,33.5
