post_id,brand,user_type,post_text,likes,comments,shares
1,Adidas,student,"Adidas It's okay, average product nothing special",353,13,147
2,Adidas,athlete,"Adidas Decent experience, could be better",935,216,92
3,Puma,athlete,"Puma Worst purchase ever, would not recommend",958,32,71
4,Samsung,influencer,"Samsung Great experience, highly recommend this product",72,41,125
5,Apple,influencer,"Apple Worst purchase ever, would not recommend",222,178,34
6,Apple,developer,"Apple Not bad, not great just fine",530,265,30
7,Samsung,influencer,"Samsung It's okay, average product nothing special",321,188,108
8,Samsung,traveler,"Samsung Very disappointed, poor quality and bad experience",659,84,48
9,Apple,influencer,"Apple Not worth the money, totally dissatisfied",998,300,29
10,Nike,traveler,"Nike Super comfortable and stylish, worth every penny",540,137,6
11,Apple,traveler,"Apple Absolutely love this brand, amazing quality and performance",619,136,55
12,Puma,influencer,"Puma Very disappointed, poor quality and bad experience",711,39,28
13,Apple,traveler,"Apple It's okay, average product nothing special",900,150,81
14,Puma,athlete,"Puma Worst purchase ever, would not recommend",767,145,164
15,Samsung,student,"Samsung Absolutely love this brand, amazing quality and performance",329,61,14
16,Adidas,traveler,"Adidas It's okay, average product nothing special",687,170,48
17,Apple,developer,"Apple Absolutely love this brand, amazing quality and performance",708,163,172
18,Nike,athlete,"Nike Super comfortable and stylish, worth every penny",329,219,100
19,Puma,athlete,"Puma Worst purchase ever, would not recommend",652,109,12
20,Puma,developer,"Puma Great experience, highly recommend this product",952,162,78
21,Apple,influencer,"Apple It's okay, average product nothing special",923,10,191
22,Samsung,traveler,"Samsung Great experience, highly recommend this product",737,103,187
23,Adidas,influencer,"Adidas Decent experience, could be better",745,77,178
24,Nike,traveler,"Nike Super comfortable and stylish, worth every penny",70,26,126
25,Nike,traveler,"Nike Absolutely love this brand, amazing quality and performance",209,155,123
26,Puma,athlete,"Puma Absolutely love this brand, amazing quality and performance",303,227,52
27,Adidas,influencer,"Adidas Very disappointed, poor quality and bad experience",599,251,73
28,Apple,athlete,"Apple Worst purchase ever, would not recommend",444,125,65
29,Puma,developer,"Puma Not worth the money, totally dissatisfied",877,207,72
30,Adidas,student,"Adidas It's okay, average product nothing special",439,269,163
31,Samsung,traveler,"Samsung Super comfortable and stylish, worth every penny",591,186,164
32,Samsung,athlete,"Samsung Great experience, highly recommend this product",192,151,35
33,Nike,student,"Nike Absolutely love this brand, amazing quality and performance",489,74,51
34,Nike,influencer,"Nike Decent experience, could be better",795,69,147
35,Samsung,influencer,"Samsung Great experience, highly recommend this product",152,177,106
36,Adidas,influencer,"Adidas Super comfortable and stylish, worth every penny",998,182,31
37,Samsung,traveler,"Samsung Very disappointed, poor quality and bad experience",550,69,74
38,Nike,influencer,"Nike Very disappointed, poor quality and bad experience",789,279,84
39,Nike,athlete,"Nike Absolutely love this brand, amazing quality and performance",588,63,63
40,Nike,athlete,"Nike Not bad, not great just fine",461,16,192
41,Puma,influencer,"Puma It's okay, average product nothing special",605,144,97
42,Adidas,developer,"Adidas Great experience, highly recommend this product",819,39,157
43,Samsung,student,"Samsung Decent experience, could be better",966,245,58
44,Apple,athlete,"Apple Very disappointed, poor quality and bad experience",693,179,18
45,Adidas,developer,"Adidas Great experience, highly recommend this product",185,206,167
46,Apple,student,"Apple Absolutely love this brand, amazing quality and performance",661,155,162
47,Samsung,developer,"Samsung Decent experience, could be better",843,28,146
48,Apple,traveler,"Apple Worst purchase ever, would not recommend",465,17,138
49,Nike,athlete,"Nike Worst purchase ever, would not recommend",561,52,25
50,Adidas,traveler,"Adidas Very disappointed, poor quality and bad experience",534,100,73
51,Samsung,traveler,"Samsung Worst purchase ever, would not recommend",429,268,196
52,Adidas,student,"Adidas It's okay, average product nothing special",290,145,35
53,Samsung,traveler,"Samsung Very disappointed, poor quality and bad experience",102,253,17
54,Adidas,traveler,"Adidas Very disappointed, poor quality and bad experience",810,135,75
55,Apple,developer,"Apple Not bad, not great just fine",632,141,124
56,Apple,traveler,"Apple Decent experience, could be better",481,95,184
57,Apple,influencer,"Apple Decent experience, could be better",884,43,176
58,Apple,traveler,"Apple Very disappointed, poor quality and bad experience",840,243,134
59,Puma,developer,"Puma Absolutely love this brand, amazing quality and performance",718,141,133
60,Apple,athlete,"Apple Not bad, not great just fine",863,15,12
61,Puma,student,"Puma Great experience, highly recommend this product",353,32,149
62,Apple,developer,"Apple Super comfortable and stylish, worth every penny",881,252,34
63,Adidas,athlete,"Adidas Absolutely love this brand, amazing quality and performance",342,245,139
