post_id,brand,user_type,post_text,likes,comments,shares
1,Nike,influencer,Nike nothing special,271,13,71
2,Nike,athlete,Nike very comfortable,745,114,58
3,Adidas,influencer,Adidas nothing special,534,58,69
4,Adidas,traveler,Adidas okay product,319,118,39
5,Puma,influencer,Puma average experience,365,59,58
6,Puma,influencer,Puma bad quality,76,124,85
7,Adidas,student,Adidas okay product,210,143,79
8,Puma,athlete,Puma very disappointing,290,191,112
9,Puma,student,Puma very disappointing,80,178,6
10,Puma,influencer,Puma great quality,800,19,54
11,Adidas,influencer,Adidas bad quality,218,116,144
12,Adidas,student,Adidas great quality,964,69,76
13,Puma,student,Puma amazing product,625,116,37
14,Adidas,athlete,Adidas nothing special,360,195,5
15,Nike,athlete,Nike great quality,668,72,101
16,Nike,traveler,Nike very comfortable,1067,106,88
17,Nike,athlete,Nike nothing special,470,136,31
18,Nike,athlete,Nike nothing special,237,65,94
19,Adidas,influencer,Adidas not worth it,124,195,75
20,Puma,traveler,Puma nothing special,400,88,115
21,Puma,traveler,Puma love this brand,577,10,15
22,Nike,traveler,Nike bad quality,235,55,131
23,Adidas,influencer,Adidas amazing product,628,73,17
24,Nike,influencer,Nike not worth it,87,24,142
25,Puma,athlete,Puma nothing special,209,23,138
26,Adidas,traveler,Adidas poor experience,164,149,24
27,Nike,athlete,Nike amazing product,853,120,33
28,Puma,athlete,Puma love this brand,1179,18,19
29,Adidas,influencer,Adidas average experience,368,66,18
30,Puma,athlete,Puma not worth it,121,86,120
31,Adidas,traveler,Adidas great quality,1194,38,141
32,Puma,traveler,Puma love this brand,864,57,53
33,Nike,athlete,Nike nothing special,312,120,76
34,Nike,influencer,Nike bad quality,164,74,9
35,Puma,traveler,Puma poor experience,226,197,76
36,Puma,influencer,Puma not worth it,95,116,87
37,Adidas,influencer,Adidas great quality,734,119,49
38,Adidas,athlete,Adidas very disappointing,197,119,6
39,Puma,influencer,Puma amazing product,1038,130,15
40,Adidas,student,Adidas bad quality,129,186,138
41,Nike,influencer,Nike very disappointing,52,134,22
42,Puma,influencer,Puma great quality,932,135,15
43,Nike,traveler,Nike very disappointing,268,153,20
44,Puma,athlete,Puma bad quality,185,120,46
45,Nike,influencer,Nike great quality,1029,21,79
46,Adidas,athlete,Adidas not worth it,234,171,89
47,Puma,athlete,Puma average experience,460,55,78
48,Adidas,traveler,Adidas bad quality,227,166,134
49,Puma,athlete,Puma very comfortable,1072,33,20
50,Nike,student,Nike very comfortable,524,83,138
51,Puma,student,Puma poor experience,199,85,107
52,Puma,influencer,Puma okay product,268,15,64
53,Nike,student,Nike average experience,362,103,97
54,Adidas,influencer,Adidas poor experience,68,28,26
55,Nike,traveler,Nike not worth it,171,110,32
56,Puma,traveler,Puma okay product,555,81,125
57,Puma,traveler,Puma not worth it,106,165,56
58,Puma,influencer,Puma bad quality,293,95,16
59,Puma,influencer,Puma nothing special,372,115,94
60,Nike,traveler,Nike average experience,547,65,107
61,Adidas,traveler,Adidas love this brand,1132,146,142
62,Adidas,student,Adidas average experience,240,124,30
63,Nike,student,Nike bad quality,300,13,105
64,Nike,influencer,Nike nothing special,456,18,22
65,Adidas,athlete,Adidas average experience,347,52,95
66,Adidas,student,Adidas nothing special,340,193,92
67,Adidas,influencer,Adidas nothing special,236,72,95
68,Nike,influencer,Nike great quality,899,79,70
69,Nike,student,Nike amazing product,637,85,65
70,Adidas,traveler,Adidas poor experience,221,26,121
71,Nike,student,Nike great quality,765,125,47
72,Nike,traveler,Nike love this brand,1061,180,29
73,Nike,athlete,Nike average experience,350,164,19
74,Nike,student,Nike great quality,1134,57,137
75,Adidas,influencer,Adidas nothing special,216,153,89
76,Adidas,athlete,Adidas amazing product,913,93,127
77,Puma,athlete,Puma nothing special,248,162,102
78,Adidas,student,Adidas average experience,324,183,62
79,Puma,athlete,Puma average experience,230,88,76
80,Puma,influencer,Puma okay product,206,103,43
81,Adidas,traveler,Adidas average experience,424,17,73
82,Adidas,traveler,Adidas very disappointing,142,133,66
83,Adidas,influencer,Adidas amazing product,920,183,148
84,Nike,influencer,Nike bad quality,263,103,97
85,Nike,influencer,Nike great quality,1165,167,64
86,Adidas,student,Adidas okay product,492,120,63
87,Adidas,traveler,Adidas very comfortable,999,175,35
88,Puma,influencer,Puma very disappointing,129,139,30
89,Adidas,athlete,Adidas average experience,308,140,57
90,Adidas,traveler,Adidas love this brand,760,91,37
91,Nike,traveler,Nike very disappointing,235,87,60
92,Adidas,student,Adidas bad quality,126,160,141
93,Nike,influencer,Nike nothing special,540,56,10
94,Puma,traveler,Puma very disappointing,192,37,92
95,Adidas,student,Adidas not worth it,267,123,70
96,Adidas,athlete,Adidas very comfortable,1027,80,80
97,Nike,athlete,Nike okay product,280,26,50
98,Adidas,student,Adidas bad quality,233,136,50
